1. What is your age group?,2. What is your gender?,3. How often do you shop for luxury products?,4. How satisfied are you with the product quality of luxury products?,5. How do you rate your shopping experience of any luxury products?,6. How would you rate the delivery service of any luxury shop?,7. How satisfied are you with the customer service support?,8. Have you ever faced any issues with any luxury shop's services?,9. Would you recommend luxury products to others?,10. What is the main reason you choose luxury products?,11. Do you plan to shop at a luxury shop again in the future?
Under 18,Male,This is my first time,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Occasionally,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Regularly,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Regularly,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Occasionally,Satisfied,4,Fast,Neutral,Rarely,Probably,Product quality,Maybe
18–25,Male,Regularly,Satisfied,2,Fast,Satisfied,"Yes, sometimes",Definitely,Affordable price,Maybe
36–45,Male,Very frequently,Very satisfied,5,Average,Satisfied,Never,Definitely,Customer service,"Yes, definitely"
18–25,Male,Occasionally,Neutral,5,Average,Very satisfied,"Yes, sometimes",Probably,Affordable price,"Yes, definitely"
Under 18,Male,Occasionally,Dissatisfied,4,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
Under 18,Male,Occasionally,Neutral,4,Slow,Neutral,Rarely,Probably not,Fast delivery,"Yes, definitely"
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Rarely,Probably,Brand reputation,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Female,Occasionally,Very satisfied,2,Fast,Satisfied,"Yes, frequently",Probably,Affordable price,"Yes, definitely"
18–25,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
Under 18,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Male,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Product quality,"Yes, definitely"
18–25,Female,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Satisfied,3,Fast,Neutral,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Very satisfied,2,Fast,Satisfied,Rarely,Probably not,Fast delivery,Probably not
18–25,Female,Occasionally,Neutral,2,Fast,Neutral,"Yes, sometimes",Probably not,Fast delivery,Maybe
18–25,Male,Regularly,Neutral,2,Fast,Satisfied,Rarely,Probably not,Fast delivery,Maybe
18–25,Male,Occasionally,Satisfied,2,Fast,Satisfied,"Yes, sometimes",Probably not,Affordable price,Maybe
26–35,Female,Regularly,Satisfied,2,Fast,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Regularly,Satisfied,3,Fast,Neutral,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,Maybe
18–25,Male,Occasionally,Satisfied,2,Fast,Neutral,Rarely,Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
